# HostFS extension -> RISC OS filetype.
#
# Generated by riscos-pi4/tools/mktypemap.py from ROOL's filetype
# allocation list: https://www.riscosopen.org/wiki/documentation/show/File%20Types
# Edit freely — this file is read at startup, and a hand-made entry
# is as good as a generated one.  Regenerate to pick up new
# allocations; your edits are not preserved, so keep them below in
# a block of their own if you regenerate often.
#
# Executable types (&FFA Module, &FF8 Absolute, &FFC Utility,
# &FEB Obey, &FFB BASIC, &FFE Command) are deliberately absent: an
# extension is a guess, and a guess must not tell the desktop that
# a host file is code.  Only a ,xxx suffix may say that.
#
# ext	type	name	description
vf	AC9	VF	TeX virtual font
vlc	AA7	M3UFile	WinAmp mp3 URL list
vob	A8D	VOB	MPEG DVD video
vrml	B29	VRML	Virtual Reality Modeling Language
wad	16C	DoomWad	Doom Iwad/Pwad
wav	FB1	WAV	Sound sample, many sub-formats
wk1	DB0	Lotus123	Lotus 1-2-3 spreadsheet
wmf	B2F	WinMeta	WMF
woff	7FF	WOFFfont	WOFF font
xbm	B61	XBitMap	X window bitmap image
xls	BA6	Excel	Excel Spreadsheet
xlsx	A7F	MSExcelX	Microsoft Excel document
xm	1AF	FstTk	FastTracker2 music track
xml	F80	XML	eXtended Markup Language files
xps	065	XPS	XML Paper Specification document
z1	061	Z-Code1	Infocom adventure game (version 1 Z-Code program)
z1-z8	11A	Z-Code	Infocom adventure game
z2	062	Z-Code2	Infocom adventure game (version 2 Z-Code program)
z3	063	Z-Code3	Infocom adventure game (version 3 Z-Code program)
z4	064	Z-Code4	Infocom adventure game (version 4 Z-Code program)
z5	065	Z-Code5	Infocom adventure game (version 5 Z-Code program)
z6	066	Z-Code6	Infocom adventure game (version 6 Z-Code program)
z7	067	Z-Code7	Infocom adventure game (version 7 Z-Code program)
z8	068	Z-Code8	Infocom adventure game (version 8 Z-Code program)
z80	BA0	Z80	!Z80Em ZX Spectrum emulator snapshot
zip	A91	Zip	Zip archive

# Not from ROOL: development extensions that have no type of
# their own because they are simply text.
# ext	type	name	description
c	FFF	Text	C source
cc	FFF	Text	C++ source
cfg	FFF	Text	Configuration
cpp	FFF	Text	C++ source
diff	FFF	Text	Patch
go	FFF	Text	Go source
h	FFF	Text	C header
hpp	FFF	Text	C++ header
ini	FFF	Text	Configuration
json	FFF	Text	JSON data
log	FFF	Text	Log file
md	FFF	Text	Markdown text
mk	FFF	Text	Makefile fragment
patch	FFF	Text	Patch
py	FFF	Text	Python source
rs	FFF	Text	Rust source
rst	FFF	Text	reStructuredText
s	FFF	Text	Assembler source
sh	FFF	Text	Shell script
toml	FFF	Text	TOML data
ts	FFF	Text	TypeScript source
yaml	FFF	Text	YAML data
yml	FFF	Text	YAML data
